Time;Name;CO;Loc;Year;Sex;Maturity;Sample type;Seq;Mean_depth_all;Mean_depth;Frac._missing_SNPs
Con;A6512;IS;Faxaflï¿½;2003;f;nestling;Blood EDTA;BGI;17.01;16.65;12
Con;A6517;IS;Faxaflï¿½;2003;f;nestling;Blood EDTA;BGI;17.39;17;10
Con;A6533;IS;N-Breidafjordur;2003;m;nestling;Blood EDTA;BGI;16.03;15.81;19
Con;A6541;IS;S-Breidafjordur;2003;f;nestling;Blood EDTA;BGI;14.36;14.52;43
Con;A6551;IS;Vestfirdir;2003;m;nestling;Blood EDTA;BGI;16.72;16.42;14
Con;A6552;IS;N-Breidafjordur;2003;f;nestling;Blood EDTA;BGI;14.18;14.36;45
Con;A7002;IS;S-Breidafjordur;2004;-;nestling;Blood EDTA;BGI;17.16;16.78;11
Con;A7028;IS;Hï¿½ï¿½naf;2004;m;nestling;Blood EDTA;BGI;17.27;16.89;10
Con;A7029;IS;S-Beidafjordur;2004;f;nestling;Blood EDTA;BGI;16.28;16.01;16
Con;A7043;IS;S-Breidafjordur;2005;m;nestling;Blood EDTA;BGI;16.97;16.64;13
Con;A7053;IS;N-Breidafjordur;2005;f;nestling;Blood EDTA;BGI;15.92;15.71;20
Con;A7057;IS;N-Breidafjordur;2005;-;nestling;Blood EDTA;BGI;14.91;14.93;34
Con;A7067;IS;S-Breidafjordur;2006;m;nestling;Blood EDTA;BGI;17.78;17.36;9
Con;A7073;IS;S-Breidafjordur;2006;-;nestling;Blood EDTA;BGI;15.61;15.48;24
Con;A7074;IS;N-Breidafjordur;2007;-;nestling;Blood EDTA;BGI;17.56;17.15;0.01
Con;A7093;IS;S-breidafjordur;2007;-;nestling;Blood EDTA;BGI;16.43;16.14;16
Con;A7094;IS;S-Breidafjordur;2007;-;nestling;Blood EDTA;BGI;17.23;16.85;11
Con;A7103;IS;Faxaflï¿½;2004;f;nestling;Blood EDTA;BGI;14.65;14.9;48
Con;A7116;IS;Faxaflï¿½;2006;-;nestling;Blood EDTA;BGI;17.17;16.79;11
Con;A7134;IS;S-Breidafjordur;2008;-;nestling;Blood EDTA;BGI;17.09;16.75;13
Con;A7138;IS;S-Breidafjordur;2008;f;nestling;Blood EDTA;BGI;17.25;16.87;11
Con;A7159;IS;Hï¿½ï¿½naf;2008;m;nestling;Blood EDTA;BGI;17.3;16.95;12
Con;A7161;IS;Vestfirdir;2009;f;nestling;Blood EDTA;BGI;18.23;17.77;7
Con;A7168;IS;N-Breidafjordur;2009;m;nestling;Blood EDTA;BGI;17.71;17.3;9
Con;A7206;IS;S-Breidafjordur;2009;m;nestling;Blood EDTA;BGI;13.74;14.12;58
Con;AA10;NO;Ertvï¿½ï¿½;2007;f;post nestling;Toepad;NMTU;14.71;14.9;45
Con;BB32;NO;Bodï¿;2008;-;post nestling;Toepad;NMTU;38.28;37.44;11
Con;BB34;NO;Hï¿½ï¿½manntjï;2009;m;post nestling;Toepad;NMTU;11.2;13.71;210
Con;BB35;NO;Tettila;2010;f;post nestling;Toepad;NMTU;10.19;13.51;270
