Number;Individual;Dog breed 
1;NBH001B1;Norwegian_Buhund
2;NBH002A1;Norwegian_Buhund
3;NBH003A1;Norwegian_Buhund
4;NBH004A1;Norwegian_Buhund
5;NBH009A1;Norwegian_Buhund
6;NBH014A1;Norwegian_Buhund
7;NBH015A1;Norwegian_Buhund
8;NBH016A1;Norwegian_Buhund
9;NBH019A1;Norwegian_Buhund
10;NBH020A1;Norwegian_Buhund
11;POH036A1;Norrbottenspets 
12;POH050A1;Norrbottenspets 
13;POH057A1;Norrbottenspets 
14;POH060A1;Norrbottenspets 
15;POH072A1;Norrbottenspets 
16;POH078K1;Norrbottenspets 
17;POH093A1;Norrbottenspets 
18;POH097A1;Norrbottenspets 
19;POH101A1;Norrbottenspets 
20;POH110A1;Norrbottenspets 
21;POH113A1;Norrbottenspets 
22;POH120A1;Norrbottenspets 
23;2;Norwegian_Lundehund
24;6;Norwegian_Lundehund
25;15;Norwegian_Lundehund
26;16;Norwegian_Lundehund
27;17;Norwegian_Lundehund
28;18;Norwegian_Lundehund
29;19;Norwegian_Lundehund
30;22;Norwegian_Lundehund
31;23;Norwegian_Lundehund
32;24;Norwegian_Lundehund
33;26;Norwegian_Lundehund
34;27;Norwegian_Lundehund
35;29;Norwegian_Lundehund
36;33;Norwegian_Lundehund
37;42;Norwegian_Lundehund
38;54;Norwegian_Lundehund
39;60;Norwegian_Lundehund
40;Cf01;Icelandic_Sheepdog
41;Cf02;Icelandic_Sheepdog
42;Cf03;Icelandic_Sheepdog
43;Cf05;Icelandic_Sheepdog
44;Cf06;Icelandic_Sheepdog
45;Cf07;Icelandic_Sheepdog
46;Cf09;Icelandic_Sheepdog
47;Cf11;Icelandic_Sheepdog
48;Cf12;Icelandic_Sheepdog
