id	lat	lon
NBH1	59.53669167	5.995680767
NBH2	60.32728058	5.765645333
NBH3	59.59346103	5.173156044
NBH4	60.41848694	5.997112649
NBH5	59.88235209	5.281551667
NBH6	60.38275164	5.914495902
NBH7	60.10440642	5.218100725
NBH8	60.44374673	5.794041798
NBH9	60.08612242	5.698063024
NBH10	59.60227275	5.08878761
NBS1	62.84656585	32.73825538
NBS2	62.62914826	32.99902402
NBS3	62.25886526	32.52095694
NBS4	62.83627832	32.5761761
NBS5	62.7580975	33.09277365
NBS6	62.70377464	33.13380203
NBS7	62.89741674	33.28843673
NBS8	62.92713849	32.92104474
NBS9	62.76979327	33.17685412
NBS10	63.0492288	32.59479938
NBS11	62.31138073	32.67187291
NBS12	62.33241826	33.23155867
LH1	-63.67989296	9.068604162
LH2	-63.69099055	8.372543992
LH3	-63.59374831	8.520701949
LH4	-63.69792338	9.278764542
LH5	-63.13808194	8.978284644
LH6	-62.95236313	9.287032336
LH7	-63.47238362	8.535585905
LH8	-63.88908583	8.677545988
LH9	-63.02741716	8.60986108
LH10	-63.48874059	9.27929282
LH11	-63.49908562	9.038123761
LH12	-63.40153841	9.168847636
LH13	-63.38911549	9.004737225
LH14	-63.48491616	8.729253872
LH15	-63.1412622	9.03602691
LH16	-63.03416646	8.753986009
LH17	-63.52245468	8.55540895
IS1	64.42143515	-19.80114936
IS2	64.08506702	-19.76670599
IS3	63.73116773	-20.04296822
IS4	64.02555048	-19.68261876
IS5	64.02820575	-20.02859536
IS6	63.85144757	-19.47743024
IS7	64.57191704	-19.81250647
IS8	64.08727059	-19.80873959
IS9	64.40917514	-19.90028644
